Food Item,Quantity,Calorie Value
Tamarind Rice,150 g,415
Vegetable Makhani,150 g,130
Paneer Kalimirch,150 g,346
Paratha,1 pc,80
Chapathi,3 pcs,80
Curd Rice,300 g,433
Bisibela Bhat,300 g,535
Papad,1 pc,160
Salad,5 pcs,65
Raitha,80 ml,112
Jamoon,40 g,143
"Vegetable side dish (Aloo Gobi, etc)",60 g,130
Plain Rice,150 g,306
Brinjal Sambar,150 g,199
Garlic Rasam,150 g,36
Banana Poriyal,100 g,353
Sorekai Kootu,150 g,415
Stuffed Parathas,2 pcs,110
Vegetable Soup,1 katori,45
Egg Fried Rice,200 g,340
Ginger Egg,150 g,343
Garlic Chicken,150 g,314
Chicken Biriyani,200 g,470
Mutton Biriyani,200 g,450
Kadai Chicken,200 g,350
Chicken Hyderabadi,200 g,700
Chicken Lollypop,1 pc,100
Chicken Chilly Fry,200 g,300
Egg Omlette,1 pc,130
Fish Fry,100 g,240
Fish Curry,200 g,460
Egg Burji Masala,150 g,258
Dal Lasooni,100 g,237
Jalebi,100 g,380
Vegetable Fried Rice,150 g,258
Aloo Okra Chilly,150 g,326
Vegetable Noodles,150 g,280
Idli,2 pcs,120
Dosa,1 pc,160
Masala Dosa,1 pc,220
Onion Uttapam,1 pc,180
Medu Vada,1 pc,97
Rava Upma,150 g,240
Pongal,200 g,290
Kesari,100 g,250
Rava Kichadi,150 g,260
Appam with Stew,1 set,320
Idiyappam,3 pcs,200
Puttu with Kadala Curry,1 plate,400
Adai with Aviyal,1 plate,350
Kothu Parotta,1 plate,480
Parotta with Salna,1 plate,420
Paniyaram,4 pcs,210
Thayir Pachadi,100 g,90
Mysore Pak,50 g,220
Halwa (Tirunelveli),100 g,320
Payasam,100 g,180
Sweet Pongal,150 g,300
Murukku,2 pcs,110
Seedai,50 g,200
Thattai,50 g,190
Samosa,1 pc,130
Bajji (Chilli),1 pc,150
Bonda,1 pc,120
Pakoda,50 g,220
Masal Vadai,1 pc,110
Adhirasam,1 pc,180
Sugarcane Juice,200 ml,120
Filter Coffee,1 cup,80
Tea,1 cup,60
Milk,200 ml,130
Curd,100 g,98
Buttermilk,200 ml,56
Pickle,1 spoon,9
Lemon Rice,150 g,350
Coconut Rice,150 g,360
Curd Semiya,150 g,250
Vegetable Kurma,150 g,170
Tomato Rasam,150 g,40
Drumstick Sambar,150 g,160
Ladies Finger Poriyal,100 g,200
Cabbage Poriyal,100 g,150
Beans Poriyal,100 g,140
Carrot Poriyal,100 g,160
Beetroot Poriyal,100 g,170
Brinjal Curry,100 g,180
Potato Fry,100 g,220
Seppankizhangu Fry,100 g,210
Raw Banana Fry,100 g,200
Mutton Curry,200 g,450
Mutton Chukka,200 g,480
Chicken 65,150 g,340
Prawn Fry,150 g,320
Prawn Curry,200 g,400
Nethili Fry,100 g,280
Crab Curry,200 g,420
Karuvadu (Dry Fish) Curry,150 g,370
